id,label
247,http://akademi-de.deu.edu.tr/sakai-ogrenme-yonetim-sisteminin-etkin-kullaniminda-egiticinin-egitimi-03-09-2020/
248,http://akademi-de.deu.edu.tr/sakai-ogrenme-yonetim-sisteminin-etkin-kullaniminda-egiticinin-egitimi-15-09-2020/
249,http://akademi-de.deu.edu.tr/kariyer-planlama-dersi-egitinin-egitimi-programi/
250,http://bap.deu.edu.tr/tr/proje-verileri/diger/
251,http://bap.deu.edu.tr/tr/proje-verileri/tubitak-projeleri/
252,http://bap.deu.edu.tr/duyurular/covid-19-ile-mucadeleye-yonelik-cok-disiplinli-gudumlu-proje-cagrisina-basvuru-yaparken-dikkat-edilmesi-gereken-hususlar/
253,http://bap.deu.edu.tr/duyurular/1407/
254,http://debis.deu.edu.tr/genel/yardimsayfalari/mail/teknikservis.html
255,http://bap.deu.edu.tr/duyurular/covid-19-ile-mucadeleye-yonelik-cok-disiplinli-gudumlu-proje-cagrisi-1-haziran-2020ye-kadar-uzatildi/
256,http://bap.deu.edu.tr/tr/projeler/
257,http://bap.deu.edu.tr/duyurular/tuseb-klinik-arastirma-proje-cagrisi/
258,http://bap.deu.edu.tr/duyurular/covid-19-salgininin-sosyal-ve-beseri-alanlardaki-etkilerine-yonelik-cok-disiplinli-gudumlu-proje-cagrisi/
259,http://bap.deu.edu.tr/tr/proje-verileri/ab-projeleri/
260,http://bap.deu.edu.tr/tr/projeler/ab-projeleri/
261,http://bap.deu.edu.tr/tr/projeler/diger/
262,http://bap.deu.edu.tr/tr/projeler/ozgelirler-ile-desteklenen-projeler/devam-eden-projeler-ozgelirler-ile-desteklenen-projeler/
263,http://bap.deu.edu.tr/tr/bap-komisyonu/
264,http://bap.deu.edu.tr/tr/kurumsal/tarihce-bilgi/
265,http://bap.deu.edu.tr/tr/kurumsal/mevzuat/
266,http://bap.deu.edu.tr/tr/projeler/ozgelirler-ile-desteklenen-projeler/
267,http://bap.deu.edu.tr/tr/destekekibi/
268,http://bap.deu.edu.tr/tr/projeler/tubitak-projeleri/
269,http://bap.deu.edu.tr/duyurular/surdurulebilir-cevre-ve-iklim-degisikligi-uluslararasi-bilim-festivali/
270,http://bap.deu.edu.tr/tr/page/2/
271,http://bap.deu.edu.tr/tr/proje-verileri/2019-yili/
272,http://bap.deu.edu.tr/tr/kurumsal/personel/
273,http://bap.deu.edu.tr/tr/proje-destek/
274,http://bap.deu.edu.tr/tr/kurumsal/misyon-vizyon/
275,http://bap.deu.edu.tr/tr/iletisim/
276,http://bap.deu.edu.tr/duyurular/deu-covid-19-ile-mucadeleye-yonelik-cok-disiplinli-gudumlu-proje-cagrisi/
277,http://bap.deu.edu.tr/tr/bapsis/
278,http://bap.deu.edu.tr/duyurular/covid-19-ile-mucadeleye-yonelik-cok-disiplinli-gudumlu-proje-cagrisi-sonuclari-aciklandi/
279,http://bap.deu.edu.tr/tr/projeler/ozgelirler-ile-desteklenen-projeler/biten-projeler-ozgelirler-ile-desteklenen-projeler/
280,http://bap.deu.edu.tr/duyurular/tuseb-sma-hastaligi-proje-cagrisi/
281,http://bap.deu.edu.tr/duyurular/cok-disiplinli-gudumlu-proje-cagrilarina-ilk-asama-basvuru-suresi-02-03-2020-olarak-uzatilmistir/
282,http://web.deu.edu.tr/desem/
283,http://deyos.deu.edu.tr/tr/deyosu-kabul-eden-universiteler/
284,http://deyos.deu.edu.tr/tr/ikamet-izni/
285,http://deyos.deu.edu.tr/tr/basvuru-tercih-kilavuzu/
286,http://deyos.deu.edu.tr/duyurular/2021-dokuz-eylul-universitesi-yurt-disindan-ogrenci-kabul-sinavi-deyos-basvuru-islemleri/
287,http://deyos.deu.edu.tr/duyurular/2021-deyos-sinav-yerleri/
288,http://deyos.deu.edu.tr/tr/sinav-ucreti/
289,http://deyos.deu.edu.tr/tr/kayit-kilavuzu/
290,http://deyos.deu.edu.tr/tr/diploma-denklik-islemleri-lise/
291,http://deyos.deu.edu.tr/tr/basvuru-kosullari/
